fecha;mensaje;user
17/10/2023;"Queda un mes para ""Dia Del Estudiante"", la publicacion de tu post!!!  ";Zambranoss,cristinaabs
09/11/2023;"Queda un mes para ""Dia de la informatica"", la publicacion de tu post!!! ";
01/12/2023;"Queda un mes para ""Año Nuevo"", la publicacion de tu post!!! ";eledebar
09/01/2024;"Queda un mes para ""Internet Seguro"", la publicacion de tu post!!! ";
11/01/2024;"Queda un mes para ""La niña y la mujer en la ciencia"", la publicacion de tu post!!! ";Zambranoss,Aohn4
01/02/2024;"Queda un mes para ""Contra el Bullying"", la publicacion de tu post!!! ";Aohn4
06/03/2024;"Queda un mes para ""Contraseña"", la publicacion de tu post!!! ";
17/02/2024;"Queda un mes para ""Internet"", la publicacion de tu post!!! ";danilargo21
17/02/2024;"Queda un mes para ""Contra la Homo-Trans-Bifobia"", la publicacion de tu post!!! ";Aohn4,dasterisk
06/05/2024;"Queda un mes para ""Contra la Pirateria"", la publicacion de tu post!!! ";Zambranoss
28/05/2024;"Queda un mes para ""Dia del Orgullo"", la publicacion de tu post!!! ";Aohn4,rmaria16,dasterisk
01/06/2024;"Queda un mes para ""Felicitar Principio de Curso"", la publicacion de tu post!!! ";Harlock850
